Year,Country,Total Medals Per Year
1924,CAN,9
1924,CAN,12
1924,CAN,20
1924,CAN,13
1924,CAN,20
1924,CAN,17
1924,CAN,20
1924,CAN,21
1924,CAN,7
1928,CAN,20
1928,CAN,1
1928,CAN,3
1928,CAN,2
1928,CAN,6
1928,CAN,37
1928,CAN,40
1928,CAN,48
1928,CAN,75
1928,CAN,68
1928,CAN,91
1928,CAN,90
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1932,CAN,
1936,CAN,
1936,CAN,
1936,CAN,
1936,CAN,
1936,CAN,
1936,CAN,
1936,CAN,
1936,CAN,
1936,CAN,
1936,CAN,
1936,CAN,
1936,CAN,
1936,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1948,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1952,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1956,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1960,CAN,
1964,CAN,
1964,CAN,
1964,CAN,
1964,CAN,
1964,CAN,
1964,CAN,
1964,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1968,CAN,
1972,CAN,
1976,CAN,
1976,CAN,
1976,CAN,
1980,CAN,
1980,CAN,
1984,CAN,
1984,CAN,
1984,CAN,
1984,CAN,
1988,CAN,
1988,CAN,
1988,CAN,
1988,CAN,
1988,CAN,
1988,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1992,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1994,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
1998,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2002,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2006,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2010,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,
2014,CAN,