Athlete,Country
"LANGLEY, John Arthur",USA
"LYONS, John Sharkey",USA
"PORTER, John Chester",CAN
"FARRELL, John O",USA
"BENT, John Peale",USA
"CHASE, John Pierce",USA
"COOKMAN, John Emery",USA
"GARRISON, John Bright",USA
"SHEA, John A.",USA
"SHEA, John A.",USA
"DAVEY, John Gerald",GBR
"GARRISON, John Bright",USA
"LAX, John Charles",USA
"LECOMPTE, John Howard",CAN
"DAVIES, John Francis",CAN
"MULHERN, John Francis",USA
"NOAH, John Michael",USA
"MCKENZIE, John A.",CAN
"MATCHEFTS, John Peter",USA
"MAYASICH, John Edward",USA
"PETTROSKE, John Edward",USA
"KIRRANE, John J.",USA
"MAYASICH, John Edward",USA
"MCKENZIE, John Barry",CAN